Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Branch_Name,Dealer_Name,Product_Name
BR8929,DLR2576,Land Rover-M500,15335818,7,DT00092,5,7,2018,Saab Motors,Subaru Motors,Land Rover
BR5231,DLR4670,Jaguar-M140,13930407,4,DT00093,20,11,2017,AC Cars Motors,Wiesmann Motors,Renault
BR8615,DLR2950,Porsche-M152,5268035,5,DT00094,4,10,2020,Messerschmitt Motors,Jaguar Land Rover,Jaguar
BR4440,DLR1281,Infinity-M470,19916455,10,DT00095,11,2,2017,Subaru Motors,AC Cars Motors,Tata
BR0959,DLR3813,Renault-M289,10617475,9,DT00096,12,12,2019,Saab Motors,Subaru Motors,Tata
BR0626,DLR8625,Honda-M61,15609594,4,DT00097,9,2,2019,Wiesmann Motors,Wiesmann Motors,Honda
BR7147,DLR9279,Hyundai-M275,18181646,8,DT00098,2,11,2018,Subaru Motors,Infinity Motors,Volvo
BR9417,DLR9146,Porsche-M291,19480426,4,DT00099,17,11,2019,Infinity Motors,Porsche Center,Tesla
BR5349,DLR2307,Infinity-M328,7175677,1,DT00100,26,5,2017,Porsche Center,Jaguar Land Rover,Porsche
BR8830,DLR0739,Infinity-M112,12121680,8,DT00101,25,1,2018,Porsche Center,Infinity Motors,Tata
BR7713,DLR3063,Porsche-M137,5561163,5,DT00102,18,12,2020,Tesla Dealers,AC Cars Motors,Tata
BR4020,DLR6996,Porsche-M417,9919428,5,DT00103,16,9,2018,Subaru Motors,Volvo Cars,Tata
BR9178,DLR4401,Tesla-M172,19947311,7,DT00104,31,10,2019,Saab Motors,AC Cars Motors,Honda
BR5983,DLR2926,Honda-M49,19191354,1,DT00105,23,6,2019,Saab Motors,Subaru Motors,Tesla
BR9799,DLR1177,Tata-M233,7825527,7,DT00106,19,12,2018,Messerschmitt Motors,Subaru Motors,Infinity
BR6349,DLR1611,Cadillac-M286,15991672,3,DT00107,22,12,2019,Infinity Motors,Tesla Dealers,Porsche
BR8661,DLR8877,Volvo-M428,12840489,1,DT00108,14,6,2017,Saab Motors,Saab Motors,Volvo
BR4266,DLR4090,Renault-M476,18602435,7,DT00109,19,4,2019,Jaguar Land Rover,Wiesmann Motors,BMW
BR1551,DLR3158,Cadillac-M24,17544107,10,DT00110,27,6,2018,AC Cars Motors,Porsche Center,Honda
BR7127,DLR3378,BMW-M64,12089549,4,DT00111,3,11,2018,Messerschmitt Motors,Porsche Center,Tesla
BR0397,DLR6309,BMW-M465,11730475,3,DT00112,7,1,2017,Wiesmann Motors,Volvo Cars,Infinity
BR0436,DLR8952,Honda-M240,18767688,1,DT00113,8,9,2017,Infinity Motors,Porsche Center,Land Rover
BR9670,DLR9184,Renault-M342,17305785,8,DT00114,26,9,2017,Porsche Center,Lexus Motors,Tesla
BR0192,DLR3954,Porsche-M117,14571332,8,DT00115,24,5,2019,Messerschmitt Motors,Lexus Motors,Jaguar
BR8002,DLR3706,Land Rover-M453,10234052,3,DT00116,1,1,2017,Tesla Dealers,Volvo Cars,Tata
BR5947,DLR5134,Renault-M366,5126946,3,DT00117,8,5,2018,Tesla Dealers,Wiesmann Motors,Jaguar
BR7263,DLR7792,Volvo-M177,17603612,4,DT00118,30,2,2020,Wiesmann Motors,Lexus Motors,BMW
BR8701,DLR5331,Land Rover-M224,16467934,8,DT00119,16,9,2018,Messerschmitt Motors,Saab Motors,Jaguar
BR6409,DLR7048,Tesla-M490,15026198,9,DT00120,23,7,2019,Tesla Dealers,Tesla Dealers,Tesla
BR4820,DLR6995,Honda-M149,14580662,7,DT00121,4,12,2019,Tesla Dealers,Porsche Center,Honda
BR3061,DLR5152,BMW-M8,8239292,2,DT00122,11,12,2019,Infinity Motors,Jaguar Land Rover,Renault
BR6390,DLR4958,Renault-M142,16760127,10,DT00123,23,10,2017,Deccan Motors,Porsche Center,Renault
BR8255,DLR5264,BMW-M289,17356745,5,DT00124,23,10,2020,Jaguar Land Rover,Jaguar Land Rover,Hyundai
BR9165,DLR9015,Tata-M26,17945063,3,DT00125,5,10,2020,Wiesmann Motors,Infinity Motors,Porsche
BR4031,DLR4875,Tata-M441,8135584,10,DT00126,23,9,2018,Messerschmitt Motors,Lexus Motors,Infinity
BR0331,DLR3940,Tata-M118,7480793,8,DT00127,2,8,2017,Deccan Motors,Infinity Motors,Infinity
BR2041,DLR3701,Tesla-M388,16316272,2,DT00128,8,5,2017,Volvo Cars,Subaru Motors,BMW
BR8741,DLR3739,Hyundai-M48,6050300,3,DT00129,24,6,2017,Volvo Cars,Deccan Motors,Cadillac
BR0964,DLR6913,Infinity-M173,14572323,3,DT00130,16,5,2018,Lexus Motors,Subaru Motors,Infinity
BR8734,DLR4867,Honda-M87,14166642,1,DT00131,28,8,2018,Porsche Center,Saab Motors,Infinity
BR4079,DLR4592,Cadillac-M279,9329392,10,DT00132,11,11,2020,Subaru Motors,Messerschmitt Motors,Hyundai
BR9645,DLR5156,Volvo-M35,12927110,2,DT00133,4,8,2020,Deccan Motors,Volvo Cars,Land Rover
BR2772,DLR7683,Infinity-M58,6116216,7,DT00134,27,8,2018,Messerschmitt Motors,Saab Motors,Renault
BR7063,DLR3763,Jaguar-M69,5591918,5,DT00135,20,4,2017,Volvo Cars,Lexus Motors,Infinity
BR0863,DLR2218,Tata-M32,13034857,9,DT00136,2,5,2017,Porsche Center,Volvo Cars,Land Rover
BR5024,DLR1448,Honda-M26,14638417,4,DT00137,20,10,2018,Wiesmann Motors,Messerschmitt Motors,Tata
BR0634,DLR8341,Land Rover-M224,17129788,7,DT00138,16,5,2017,Infinity Motors,Subaru Motors,Volvo
BR8708,DLR2473,Honda-M46,15226509,4,DT00139,5,1,2020,Tesla Dealers,Wiesmann Motors,Volvo
BR4249,DLR7617,Porsche-M239,6380769,6,DT00140,12,9,2017,Jaguar Land Rover,Tesla Dealers,Honda
BR8191,DLR5721,Porsche-M421,5720366,3,DT00141,27,3,2019,Saab Motors,Wiesmann Motors,Infinity
BR4912,DLR2445,Porsche-M367,18008450,1,DT00142,20,4,2017,Messerschmitt Motors,Infinity Motors,Land Rover
BR8671,DLR3416,Jaguar-M301,6373708,1,DT00143,30,1,2020,Saab Motors,Jaguar Land Rover,Land Rover
BR9050,DLR7900,Porsche-M137,17060598,4,DT00144,26,12,2020,Tesla Dealers,Infinity Motors,Land Rover
BR5018,DLR2609,Jaguar-M90,14786905,3,DT00145,2,12,2018,Jaguar Land Rover,Saab Motors,Jaguar
BR3779,DLR2852,Cadillac-M178,16440169,9,DT00146,19,7,2019,Jaguar Land Rover,Messerschmitt Motors,Tata
BR8107,DLR0537,Tesla-M151,11697272,6,DT00147,22,9,2020,Volvo Cars,Porsche Center,Land Rover
BR8768,DLR1564,Tata-M421,8016000,9,DT00148,7,1,2020,Subaru Motors,Tesla Dealers,Jaguar
BR0729,DLR8184,Cadillac-M305,17416431,5,DT00149,13,6,2018,Messerschmitt Motors,Volvo Cars,Porsche
BR8891,DLR0371,Tata-M343,10458027,6,DT00150,10,2,2020,Volvo Cars,Infinity Motors,Porsche
BR4568,DLR9571,Volvo-M333,17276345,3,DT00151,22,1,2019,Lexus Motors,Deccan Motors,Infinity
BR8950,DLR7321,Cadillac-M411,15956222,1,DT00152,8,11,2018,Subaru Motors,Subaru Motors,Cadillac
BR9246,DLR9536,Infinity-M346,7680282,5,DT00153,17,2,2020,Subaru Motors,Volvo Cars,Tata
BR6775,DLR6744,Hyundai-M416,11443032,2,DT00154,29,6,2018,AC Cars Motors,Jaguar Land Rover,Land Rover
BR8926,DLR2921,Cadillac-M193,10674427,6,DT00155,16,1,2020,Porsche Center,Volvo Cars,Volvo
BR7019,DLR0945,Land Rover-M179,15065998,8,DT00156,17,1,2019,Infinity Motors,Porsche Center,Tesla
BR9310,DLR0942,Land Rover-M359,9589876,8,DT00157,17,5,2018,Messerschmitt Motors,Subaru Motors,Renault
BR1065,DLR0420,Tata-M409,14551704,3,DT00158,7,2,2017,Deccan Motors,Porsche Center,BMW
BR2598,DLR7645,Renault-M296,18611963,7,DT00159,30,6,2018,AC Cars Motors,Saab Motors,Renault
BR5543,DLR6269,BMW-M482,19191205,1,DT00160,6,4,2017,Deccan Motors,Jaguar Land Rover,Renault
BR8643,DLR1608,Cadillac-M80,16655037,10,DT00161,7,9,2019,Subaru Motors,Tesla Dealers,Honda
BR6383,DLR3923,Porsche-M95,13564455,6,DT00162,24,5,2019,Subaru Motors,Deccan Motors,Jaguar
BR9898,DLR9916,Renault-M211,17793442,9,DT00163,22,10,2019,AC Cars Motors,Deccan Motors,BMW
BR3194,DLR8247,Jaguar-M288,6621881,4,DT00164,24,2,2018,Porsche Center,Lexus Motors,Cadillac
BR9499,DLR3783,Volvo-M114,10083153,4,DT00165,19,12,2017,Lexus Motors,Deccan Motors,Volvo
BR8161,DLR5860,Land Rover-M286,14568857,10,DT00166,7,8,2018,Saab Motors,Deccan Motors,Land Rover
BR1848,DLR3377,Land Rover-M451,15038490,9,DT00167,28,12,2020,Deccan Motors,Lexus Motors,Infinity
BR6977,DLR4048,Tata-M144,6310075,10,DT00168,30,6,2018,Jaguar Land Rover,Lexus Motors,Jaguar
BR0375,DLR6407,Honda-M357,12126245,8,DT00169,7,2,2020,Volvo Cars,Lexus Motors,Honda
BR8600,DLR3252,Renault-M429,13915687,10,DT00170,5,4,2017,Saab Motors,Messerschmitt Motors,BMW
BR2839,DLR4379,Honda-M430,16002295,4,DT00171,2,9,2019,Lexus Motors,Saab Motors,Tesla
BR8454,DLR0157,Hyundai-M182,16307329,5,DT00172,17,8,2017,Tesla Dealers,Messerschmitt Motors,Porsche
BR2225,DLR5904,Cadillac-M454,16508203,3,DT00173,25,5,2019,Lexus Motors,Volvo Cars,Cadillac
BR2313,DLR3907,Renault-M20,7330880,10,DT00174,7,9,2018,Saab Motors,Subaru Motors,Infinity
BR5293,DLR5474,Porsche-M64,5012705,10,DT00175,8,9,2020,AC Cars Motors,Saab Motors,Hyundai
BR2688,DLR2001,Infinity-M474,18153852,6,DT00176,31,12,2020,Subaru Motors,Subaru Motors,Porsche
BR8367,DLR1549,Hyundai-M200,12659475,9,DT00177,30,7,2018,Saab Motors,Volvo Cars,Cadillac
BR2771,DLR6182,Porsche-M304,15927645,7,DT00178,17,5,2019,AC Cars Motors,Volvo Cars,Tata
BR7552,DLR5723,Hyundai-M430,19731534,5,DT00179,23,8,2020,Messerschmitt Motors,Messerschmitt Motors,Volvo
BR0891,DLR3697,Cadillac-M481,8392665,5,DT00180,28,1,2018,Volvo Cars,Jaguar Land Rover,Volvo
BR2678,DLR8839,Renault-M448,16663189,5,DT00181,13,4,2017,Tesla Dealers,AC Cars Motors,Tata
BR8388,DLR6547,Tesla-M10,11586792,3,DT00182,2,2,2017,Volvo Cars,Saab Motors,Honda
BR0337,DLR0409,Honda-M35,16015181,9,DT00183,27,3,2019,Deccan Motors,Tesla Dealers,Jaguar
BR0984,DLR0168,Tata-M479,15790085,5,DT00184,13,3,2020,Saab Motors,Jaguar Land Rover,Tesla
BR1333,DLR6078,Hyundai-M63,15714544,2,DT00185,2,7,2019,Infinity Motors,Porsche Center,Volvo
BR7677,DLR1192,Tata-M250,18015185,10,DT00186,24,3,2017,Infinity Motors,Saab Motors,Tata
BR8493,DLR4069,BMW-M12,7023688,3,DT00187,2,6,2017,Tesla Dealers,Saab Motors,Jaguar
BR5851,DLR1404,Tata-M69,12503311,4,DT00188,11,3,2020,Infinity Motors,Deccan Motors,BMW
BR6575,DLR3850,Tesla-M39,17696752,1,DT00189,26,10,2019,AC Cars Motors,Lexus Motors,Renault
BR0488,DLR5658,Tata-M456,18823720,7,DT00190,21,6,2018,Wiesmann Motors,Infinity Motors,Porsche
BR1364,DLR1648,Tata-M245,5548309,4,DT00191,7,7,2017,Porsche Center,Saab Motors,Land Rover
BR1770,DLR7829,Tesla-M144,11854969,3,DT00192,29,7,2018,Porsche Center,Volvo Cars,Porsche
BR2760,DLR2128,Land Rover-M419,11044316,6,DT00193,20,2,2020,AC Cars Motors,Porsche Center,Cadillac
BR0237,DLR1382,Volvo-M110,16877797,9,DT00194,28,12,2019,Wiesmann Motors,Jaguar Land Rover,Hyundai
BR9346,DLR7985,Tata-M494,17566577,9,DT00195,6,10,2017,Wiesmann Motors,Tesla Dealers,BMW
BR3825,DLR4210,Tesla-M403,15717864,7,DT00196,29,10,2017,Porsche Center,Infinity Motors,Jaguar
BR5017,DLR0917,Porsche-M252,8672559,10,DT00197,20,2,2018,Saab Motors,Volvo Cars,Cadillac
BR8084,DLR5084,Cadillac-M365,19619034,7,DT00198,20,6,2018,Saab Motors,Porsche Center,Tesla
BR4353,DLR1585,Land Rover-M339,10682491,8,DT00199,25,5,2017,Lexus Motors,Wiesmann Motors,Porsche
BR6660,DLR8585,Volvo-M242,14764762,10,DT00200,31,7,2019,Saab Motors,Lexus Motors,Cadillac
BR0413,DLR3265,Tesla-M363,15039313,2,DT00201,25,4,2019,Infinity Motors,Volvo Cars,Jaguar
BR0085,DLR5604,Cadillac-M490,5423016,3,DT00202,9,10,2019,AC Cars Motors,Infinity Motors,Cadillac
BR5202,DLR9464,Cadillac-M348,7286619,4,DT00203,27,8,2020,Deccan Motors,Subaru Motors,Honda
BR5360,DLR7402,Jaguar-M61,10247781,10,DT00204,18,6,2019,Porsche Center,Wiesmann Motors,Tesla
BR1378,DLR2405,Cadillac-M76,15154069,9,DT00205,16,2,2020,Volvo Cars,Jaguar Land Rover,Land Rover
BR3524,DLR9858,BMW-M294,10949753,9,DT00206,2,10,2017,Wiesmann Motors,Jaguar Land Rover,Volvo
BR0550,DLR6679,Infinity-M438,10481911,9,DT00207,25,4,2017,Jaguar Land Rover,Deccan Motors,Volvo
BR7519,DLR7018,Honda-M315,11973975,1,DT00208,9,4,2020,Deccan Motors,AC Cars Motors,Honda
BR7354,DLR2513,Tesla-M174,8293392,1,DT00209,2,1,2020,Lexus Motors,Tesla Dealers,BMW
BR0549,DLR1320,Hyundai-M370,12613617,8,DT00210,22,8,2018,Jaguar Land Rover,AC Cars Motors,Cadillac
BR0600,DLR3592,Porsche-M135,7696980,9,DT00211,24,10,2019,Saab Motors,Messerschmitt Motors,Tata
BR7237,DLR1574,Hyundai-M231,13255265,10,DT00212,12,12,2019,Porsche Center,Wiesmann Motors,Hyundai
BR7065,DLR3975,Land Rover-M479,9871272,4,DT00213,31,9,2020,Infinity Motors,Messerschmitt Motors,Jaguar
BR4888,DLR6182,Hyundai-M458,5905687,3,DT00214,22,1,2019,Lexus Motors,AC Cars Motors,Cadillac
BR4125,DLR0854,Renault-M93,14422844,3,DT00215,6,1,2019,Wiesmann Motors,Saab Motors,Jaguar
BR1666,DLR8461,Porsche-M62,13816740,2,DT00216,21,7,2020,AC Cars Motors,Porsche Center,Cadillac
BR7601,DLR7749,Jaguar-M226,15169066,4,DT00217,29,12,2017,Wiesmann Motors,Volvo Cars,Tesla
BR7404,DLR9985,Porsche-M251,11498735,5,DT00218,3,11,2019,Infinity Motors,Saab Motors,Land Rover
BR1025,DLR6869,Renault-M486,12698414,10,DT00219,5,7,2019,Lexus Motors,Lexus Motors,Porsche
BR2142,DLR4314,Infinity-M242,5254384,6,DT00220,22,10,2020,Jaguar Land Rover,Saab Motors,Tesla
BR9632,DLR0347,BMW-M500,8821962,2,DT00221,2,6,2019,AC Cars Motors,Porsche Center,Tesla
BR8917,DLR0545,Jaguar-M162,10462277,4,DT00222,26,12,2017,Subaru Motors,Deccan Motors,Land Rover
BR6915,DLR4061,Volvo-M342,17556596,3,DT00223,4,7,2017,Saab Motors,Volvo Cars,Volvo
BR3383,DLR4633,Land Rover-M276,6164906,1,DT00224,7,7,2018,Saab Motors,Deccan Motors,Porsche
BR5121,DLR4055,Porsche-M179,17052126,10,DT00225,24,7,2017,Messerschmitt Motors,Saab Motors,BMW
BR7393,DLR0291,BMW-M194,7332224,4,DT00226,28,1,2018,Jaguar Land Rover,AC Cars Motors,Renault
BR4517,DLR7073,Infinity-M496,16273663,5,DT00227,27,6,2020,Porsche Center,Lexus Motors,Land Rover
BR5515,DLR2755,BMW-M4,19055879,6,DT00228,19,8,2019,Saab Motors,Wiesmann Motors,Tesla
BR9009,DLR7964,Jaguar-M311,19653970,1,DT00229,15,10,2017,Saab Motors,Deccan Motors,Infinity
BR1359,DLR9794,Volvo-M188,19427432,8,DT00230,23,10,2019,AC Cars Motors,Subaru Motors,Land Rover
BR7729,DLR5118,Hyundai-M412,13398998,7,DT00231,18,2,2020,Saab Motors,Tesla Dealers,Tata
BR1359,DLR2692,Porsche-M47,5017172,2,DT00232,15,2,2020,Volvo Cars,Deccan Motors,Porsche
BR6675,DLR5907,Honda-M42,17342456,6,DT00233,9,11,2018,Volvo Cars,Saab Motors,Porsche
BR9710,DLR2668,Volvo-M79,9516891,4,DT00234,8,2,2020,Wiesmann Motors,Jaguar Land Rover,Infinity
